school,latitude,longitude,score,income,funding,enrollment,white,asian,black,hispanic,other,minority
CHAVEZ H S,29.686956,-95.254541,858,51079,12030.64,2006,0.008973081,0.031904287,0.070787637,0.884346959,0.003988036,0.991026919
WESTSIDE H S,29.754148,-95.638114,974,72871,12030.64,2825,0.130265487,0.067964602,0.330265487,0.447433628,0.024070796,0.869734513
CARNEGIE VANGUARD H S,29.754301,-95.385158,1350,116423,12030.64,824,0.194174757,0.328883495,0.110436893,0.333737864,0.03276699,0.805825243
CHALLENGE EARLY COLLEGE H S,29.72154,-95.457213,1017,43251,12030.64,480,0.060416667,0.045833333,0.10625,0.777083333,0.010416667,0.939583333
LIBERTY H S,29.716092,-95.474637,779,43251,12030.64,373,0.026809651,0.048257373,0.029490617,0.892761394,0.002680965,0.973190349
MOUNT CARMEL ACADEMY,29.660829,-95.301575,887,45115,12030.64,229,0.017467249,0.004366812,0.087336245,0.886462882,0.004366812,0.982532751
HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,29.847589,-95.361584,814,42522,12030.64,2644,0.015885023,0.000378215,0.062405446,0.917170953,0.004160363,0.984114977
ENERGIZED FOR STEM ACADEMY H S,29.691132,-95.507706,821,47810,12030.64,549,0.016393443,0.007285974,0.025500911,0.948998179,0.001821494,0.983606557
TEXAS CONNECTIONS ACADEMY AT HOUSTON,29.728603,-95.562129,1048,59097,12030.64,8332,0.36449832,0.057369179,0.148703793,0.371579453,0.057849256,0.63550168
MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN,29.776713,-95.33536,923,50119,12030.64,302,0.029801325,0,0.483443709,0.443708609,0.043046358,0.970198675
YOUNG Women'S COLLEGE PREP ACADEMY,29.730921,-95.374168,1080,71199,12030.64,445,0.029213483,0.013483146,0.541573034,0.397752809,0.017977528,0.970786517
NORTH FOREST H S,29.867029,-95.259744,746,39093,12030.64,949,0.014752371,0.004214963,0.510010537,0.462592202,0.008429926,0.985247629
ENERGY INSTITUTE H S,29.71455,-95.358791,1158,71199,12030.64,663,0.266968326,0.04826546,0.224736048,0.422322775,0.037707391,0.733031674
MIDDLE COLLEGE H S AT HCC GULFTON,29.716092,-95.474637,743,43251,12030.64,112,0.017857143,0,0.107142857,0.857142857,0.017857143,0.982142857
MIDDLE COLLEGE H S AT HCC FRAGA,29.75222,-95.332296,851,83980,12030.64,134,0.007462687,0.007462687,0.007462687,0.970149254,0.007462687,0.992537313
SUMMER CREEK H S,29.926148,-95.207907,1012,71199,10342.87,3767,0.137244492,0.03451022,0.459516857,0.332359968,0.036368463,0.862755508
MAYDE CREEK H S,29.806473,-95.695341,920,80575,11068.37,2970,0.111784512,0.056228956,0.214478114,0.582491582,0.035016835,0.888215488
DOBIE H S,29.591501,-95.25014,928,88140,13221.4,3739,0.045466702,0.102433806,0.17304092,0.662476598,0.016581974,0.954533298
DR KIRK LEWIS CAREER AND TECHNICAL H S,29.629061,-95.174942,925,58217,13221.4,1463,0.05468216,0.023239918,0.031442242,0.885167464,0.005468216,0.94531784
C E KING H S,29.879172,-95.199137,858,95000,12092.72,3670,0.03760218,0.005177112,0.288555858,0.652588556,0.016076294,0.96239782
MEMORIAL H S,29.780297,-95.522985,1215,136149,12198.99,2640,0.525378788,0.171212121,0.024242424,0.235606061,0.043560606,0.474621212
NORTHBROOK H S,29.816659,-95.531382,898,62134,12198.99,2598,0.025404157,0.008468052,0.041570439,0.912240185,0.012317167,0.974595843
SPRING WOODS H S,29.811024,-95.548287,860,62134,12198.99,2068,0.059961315,0.012572534,0.039168279,0.872340426,0.015957447,0.940038685
STRATFORD H S,29.774982,-95.604331,1092,101995,12198.99,2312,0.468425606,0.064446367,0.101211073,0.329584775,0.03633218,0.531574394
SPRING BRANCH ACADEMIC INSTITUTE,29.776175,-95.600055,1478,101995,12198.99,148,0.412162162,0.391891892,0.013513514,0.087837838,0.094594595,0.587837838
WESTFIELD H S,30.007244,-95.446904,819,50903,11574.48,2301,0.022164276,0.028683181,0.399826163,0.521077792,0.028248588,0.977835724
ANDY DEKANEY H S,30.017447,-95.420259,798,78592,11574.48,2481,0.020556227,0.015316405,0.415961306,0.519951632,0.02821443,0.979443773
MOMENTUM H S,29.996073,-95.477414,737,55589,11574.48,236,0.046610169,0.004237288,0.508474576,0.415254237,0.025423729,0.953389831
SPRING EARLY COLLEGE ACADEMY,30.006333,-95.380029,1025,78592,11574.48,365,0.052054795,0.054794521,0.268493151,0.583561644,0.04109589,0.947945205
